target_inter_id,target_inter_name,movement,entrance_dir8,entrance_eight_direction,turn_dir_no,exit_dir8,downstream_inter_id,downstream_inter_name,receiving_eight_direction,receiving_turn_dir_no,period,target_overflow_max_pm,target_overflow_mean_pm,target_overflow_max_all,target_sat_max_pm,target_green_util_max_pm,target_queue_max_m_pm,downstream_overflow_max_pm,downstream_sat_max_pm,screen_type,target_overflow_problem,target_sat_problem,target_high_demand,downstream_blocked,downstream_slack,has_downstream_dwd
011wwe0qwwm00001,玉函路与马鞍山路路口,南进口直行,4,5,2,0,011wwe0qxnw00001,顺河高架路与顺河高架路入口路口,5,2,evening_peak,0.5957,0.3047,1.4994,,,58.0,,,OTHER,False,False,False,,,False
011wwe0qywd00001,舜耕路与马鞍山路路口,北进口左转,0,1,1,2,011wwe0rn8400001,千佛山西路与马鞍山路路口,7,1,evening_peak,0.0,0.0,0.0536,,,,0.1605,,OTHER,False,False,False,False,True,True
011wwe0qywd00001,舜耕路与马鞍山路路口,南进口直行,4,5,2,0,011wwe0qzns00001,经十一路与舜耕路路口,5,2,evening_peak,0.1136,0.0633,0.1706,,,75.8,0.2258,,OTHER,False,False,False,False,True,True
011wwe0qywd00001,舜耕路与马鞍山路路口,西进口左转,6,7,1,0,011wwe0qzns00001,经十一路与舜耕路路口,5,1,evening_peak,0.0484,0.0162,0.0664,,,47.2,0.0623,,OTHER,False,False,False,False,True,True
011wwe0qywd00001,舜耕路与马鞍山路路口,西进口直行,6,7,2,2,011wwe0rn8400001,千佛山西路与马鞍山路路口,7,2,evening_peak,0.0525,0.018,0.0636,,,51.2,,,OTHER,False,False,False,,,False
011wwe0qzns00001,经十一路与舜耕路路口,北进口左转,0,1,1,2,011wwe0rp0h00001,千佛山西路与经十一路路口,7,1,evening_peak,0.0674,0.0079,0.0674,,,15.5,0.0248,,OTHER,False,False,False,False,True,True
011wwe0qzns00001,经十一路与舜耕路路口,北进口直行,0,1,2,4,011wwe0qywd00001,舜耕路与马鞍山路路口,1,2,evening_peak,0.1948,0.0724,1.0852,,,44.8,0.3727,,OTHER,False,False,False,False,True,True
011wwe0qzns00001,经十一路与舜耕路路口,东进口左转,2,3,1,4,011wwe0qywd00001,舜耕路与马鞍山路路口,1,1,evening_peak,0.6919,0.0168,0.6919,,,53.4,0.0,,WEAK_TYPE1,False,False,False,False,True,True
011wwe0qzns00001,经十一路与舜耕路路口,南进口直行,4,5,2,0,011wwe0qzwv00001,经十路与青年东路路口,5,2,evening_peak,0.2258,0.0818,0.2761,,,79.0,0.2099,,OTHER,False,False,False,False,True,True
011wwe0qzwv00001,经十路与青年东路路口,北进口左转,0,1,1,2,011wwe0rpsj00001,千佛山路与经十路路口,7,1,evening_peak,0.1703,0.0359,0.2156,,,132.2,0.0673,,OTHER,False,False,False,False,True,True
011wwe0qzwv00001,经十路与青年东路路口,南进口直行,4,5,2,0,011wwe0wbyy00001,文化西路与青年东路路口,5,2,evening_peak,0.2099,0.0947,0.3952,,,64.8,0.1027,,OTHER,False,False,False,False,True,True
011wwe0qzwv00001,经十路与青年东路路口,西进口左转,6,7,1,0,011wwe0wbyy00001,文化西路与青年东路路口,5,1,evening_peak,0.025,0.0078,0.0335,,,38.9,0.0608,,OTHER,False,False,False,False,True,True
011wwe0qzwv00001,经十路与青年东路路口,西进口直行,6,7,2,2,011wwe0rpsj00001,千佛山路与经十路路口,7,2,evening_peak,0.0984,0.0281,0.1354,,,153.2,0.0992,,OTHER,False,False,False,False,True,True
011wwe0rj1r00001,千佛山南路与千佛山西路路口,南进口直行,4,5,2,0,011wwe0rn8400001,千佛山西路与马鞍山路路口,5,2,evening_peak,0.0329,0.0019,0.6296,,,13.2,0.0503,,OTHER,False,False,False,False,True,True
011wwe0rn8400001,千佛山西路与马鞍山路路口,北进口直行,0,1,2,4,011wwe0rj1r00001,千佛山南路与千佛山西路路口,1,2,evening_peak,0.1284,0.0298,0.2171,,,44.0,0.0659,,OTHER,False,False,False,False,True,True
011wwe0rn8400001,千佛山西路与马鞍山路路口,南进口左转,4,5,1,6,011wwe0qywd00001,舜耕路与马鞍山路路口,3,1,evening_peak,0.037,0.0079,0.2255,,,31.8,0.2314,,OTHER,False,False,False,False,True,True
011wwe0rn8400001,千佛山西路与马鞍山路路口,南进口直行,4,5,2,0,011wwe0rp0h00001,千佛山西路与经十一路路口,5,2,evening_peak,0.0503,0.0178,0.0922,,,43.2,0.0,,OTHER,False,False,False,False,True,True
011wwe0rn8400001,千佛山西路与马鞍山路路口,西进口左转,6,7,1,0,011wwe0rp0h00001,千佛山西路与经十一路路口,5,1,evening_peak,0.1605,0.0412,0.5135,,,27.2,0.1179,,OTHER,False,False,False,False,True,True
011wwe0rp0h00001,千佛山西路与经十一路路口,东进口左转,2,3,1,4,011wwe0rn8400001,千佛山西路与马鞍山路路口,1,1,evening_peak,0.043,0.0049,0.0768,,,25.4,0.0292,,OTHER,False,False,False,False,True,True
011wwe0rpsj00001,千佛山路与经十路路口,北进口左转,0,1,1,2,011wwe0rpxt00001,千佛山东路与历山路路口,7,1,evening_peak,0.0613,0.005,0.0726,,,36.0,0.1104,,OTHER,False,False,False,False,True,True
011wwe0rpsj00001,千佛山路与经十路路口,西进口直行,6,7,2,2,011wwe0rpxt00001,千佛山东路与历山路路口,7,2,evening_peak,0.0992,0.0422,0.183,,,62.8,0.1468,,OTHER,False,False,False,False,True,True
011wwe0rrjm00001,山师东路与经十一路路口,南进口直行,4,5,2,0,011wwe0rrtm00001,山师东路与经十路路口,5,2,evening_peak,0.2647,0.0698,0.454,,,48.4,0.1441,,OTHER,False,False,False,False,True,True
011wwe0rrjm00001,山师东路与经十一路路口,西进口左转,6,7,1,0,011wwe0rrtm00001,山师东路与经十路路口,5,1,evening_peak,0.1033,0.0211,0.2566,,,62.4,0.1404,,OTHER,False,False,False,False,True,True
011wwe0rrtm00001,山师东路与经十路路口,北进口左转,0,1,1,2,011wwe0rx9j00001,岔口,7,1,evening_peak,0.3991,0.0571,0.3991,,,68.0,,,OTHER,False,False,False,,,False
011wwe0rrtm00001,山师东路与经十路路口,北进口直行,0,1,2,4,011wwe0rrjm00001,山师东路与经十一路路口,1,2,evening_peak,0.3181,0.0825,0.8816,,,54.2,0.2221,,WEAK_TYPE1,False,False,False,False,True,True
011wwe0rrtm00001,山师东路与经十路路口,东进口左转,2,3,1,4,011wwe0rrjm00001,山师东路与经十一路路口,1,1,evening_peak,0.0044,0.0001,0.0171,,,2.0,,,OTHER,False,False,False,,,False
011wwe0rrtm00001,山师东路与经十路路口,东进口直行,2,3,2,6,011wwe0rpxt00001,千佛山东路与历山路路口,3,2,evening_peak,0.1474,0.0511,0.171,,,67.4,0.2433,,OTHER,False,False,False,False,True,True
