inter_id,inter_name,eight_direction,adjacent_inter_spacing_m
011ww6tmv2m00001,A33县道与A33县道路口,3,1737.36
011ww6tnpte00001,无名道路与152县道路口,1,586.39
011ww6tnpte00001,无名道路与152县道路口,3,509.09
011ww6tnpte00001,无名道路与152县道路口,5,5052.27
011ww6tnpvw00001,152县道与云翠山路路口,5,217.28
011ww6tnr3200001,无名道路与无名道路路口,7,509.09
011ww6tq08300001,岔口,3,553.59
011ww6tq0sb00001,无名道路与云翠山路路口,1,483.84
011ww6tq0sb00001,无名道路与云翠山路路口,5,369.11
011ww6tq0sb00001,无名道路与云翠山路路口,7,553.59
011ww6tq1k300001,无名道路与云翠山路路口,1,1607.13
011ww6tq1k300001,无名道路与云翠山路路口,3,1332.41
011ww6tq1k300001,无名道路与云翠山路路口,5,483.84
011ww6tq3qu00001,无名道路与无名道路路口,3,400.01
011ww6tq3qu00001,无名道路与无名道路路口,7,1332.41
011ww6tq3yf00001,无名道路与张南路路口,4,554.6
011ww6tq3yf00001,无名道路与张南路路口,8,1249.55
011ww6tq5uk00001,A32县道与云翠山路路口,1,410.82
011ww6tq5uk00001,A32县道与云翠山路路口,3,255.99
011ww6tq5uk00001,A32县道与云翠山路路口,5,1607.13
011ww6tq5y700001,A32县道与洪范池路路口,2,543.2
011ww6tq7eh00001,岔口,1,404.7
011ww6tq7eh00001,岔口,4,1249.55
011ww6tq8f900001,岔口,8,952.73
011ww6tq96j00001,无名道路与张南路路口,5,398.13
011ww6tqhrp00001,龙池大街与演旧线路口,1,551.17
011ww6tqhrp00001,龙池大街与演旧线路口,3,291.26
011ww6tqhrp00001,龙池大街与演旧线路口,7,287.4
011ww6tqhsc00001,龙池大街与云翠山路路口,3,286.34
011ww6tqhsc00001,龙池大街与云翠山路路口,5,410.82
011ww6tqjq700001,A33县道与狼溪河路路口,1,431.05
011ww6tqjq700001,A33县道与狼溪河路路口,5,551.17
011ww6tqjq700001,A33县道与狼溪河路路口,7,1737.36
011ww6tqk3k00001,汇泉路与龙池大街路口,1,1013.91
011ww6tqk3k00001,汇泉路与龙池大街路口,3,255.94
011ww6tqk3k00001,汇泉路与龙池大街路口,7,289.41
011ww6tqk7300001,龙池大街与张南路路口,5,404.7
011ww6tqk7300001,龙池大街与张南路路口,7,255.94
011ww6tqnn100001,A33县道与狼溪河路路口,1,5452.26
011ww6tqnn100001,A33县道与狼溪河路路口,3,622.72
011ww6tqnn100001,A33县道与狼溪河路路口,5,431.05
011ww6tqq5000001,A33县道与洪范池路路口,1,1945.37
011ww6tqq5000001,A33县道与洪范池路路口,7,622.72
011ww6tr6nm00001,丁大路与丁大路路口,1,355.22
011ww6tr6nm00001,丁大路与丁大路路口,5,1186.76
011ww6tr6y000001,岔口,2,191.99
011ww6tr6y000001,岔口,5,355.22
011ww6tr6zp00001,丁大路与丁大路路口,1,1009.67
011ww6tr6zp00001,丁大路与丁大路路口,6,191.99
011ww6tr82e00001,丁大路与丁大路路口,1,1186.76
011ww6trkxg00001,大寨山路与丁大路路口,3,1633.13
011ww6trkxg00001,大寨山路与丁大路路口,5,1009.67
011ww6trkxg00001,大寨山路与丁大路路口,8,1016.97
011ww6trm6p00001,大寨山路与无名道路路口,1,662.35
011ww6trm6p00001,大寨山路与无名道路路口,4,1016.97
011ww6trm6p00001,大寨山路与无名道路路口,8,2803.28
011ww6trqdb00001,无名道路与无名道路路口,5,662.35
011ww6trve900001,大寨山路与演旧线路口,3,471.35
011ww6trve900001,大寨山路与演旧线路口,7,1633.13
011ww6trvxq00001,演旧线与演旧线路口,3,464.19
011ww6ttkzr00001,王旧线与王旧线路口,3,288.99
011ww6ttkzr00001,王旧线与王旧线路口,6,135.63
011ww6ttt1d00001,王旧线与王旧线路口,2,415.97
011ww6ttt1d00001,王旧线与王旧线路口,7,288.99
011ww6ttt5d00001,220国道与无名道路路口,1,265.3
011ww6ttt5d00001,220国道与无名道路路口,2,2614.03
011ww6ttts000001,王旧线与无名道路路口,2,351.85
011ww6ttts000001,王旧线与无名道路路口,5,265.3
011ww6tttyh00001,王旧线与王旧线路口,2,744.39
011ww6tttyh00001,王旧线与王旧线路口,6,767.82
011ww6ttvnp00001,无名道路与狼溪河路路口,3,377.99
011ww6ttvnp00001,无名道路与狼溪河路路口,5,1766.33
011ww6ttyf400001,王旧线与王旧线路口,2,565.71
011ww6ttyf400001,王旧线与王旧线路口,3,539.41
011ww6ttyf400001,王旧线与王旧线路口,6,744.39
011ww6ttyge00001,坛山路与坛山路路口,1,193.26
011ww6ttymw00001,220国道与溪河街路口,5,730.62
011ww6ttymw00001,220国道与溪河街路口,8,539.41
011ww6ttz5t00001,王旧线与无名道路路口,5,243.02
011ww6ttzmq00001,王旧线与无名道路路口,1,1773.36
011ww6ttzmq00001,王旧线与无名道路路口,4,413.43
011ww6ttzmq00001,王旧线与无名道路路口,6,565.71
011ww6ttzpb00001,无名道路与无名道路路口,4,388.1
011ww6tubfg00001,无名道路与无名道路路口,2,732.75
011ww6tubfg00001,无名道路与无名道路路口,6,82.45
011ww6tubgc00001,石姜线与无名道路路口,2,628.98
011ww6tucrw00001,石姜线与无名道路路口,2,2862.72
011ww6tucrw00001,石姜线与无名道路路口,3,1288.21
011ww6tucrw00001,石姜线与无名道路路口,6,628.98
011ww6tucrz00001,无名道路与无名道路路口,2,1526.77
011ww6tucrz00001,无名道路与无名道路路口,8,75.76
011ww6tucxe00001,无名道路与无名道路路口,4,75.76
011ww6tucxe00001,无名道路与无名道路路口,6,732.75
011ww6tv36j00001,A34县道与无名道路路口,1,1108.26
011ww6tv36j00001,A34县道与无名道路路口,3,920.45
011ww6tv5r500001,无名道路与无名道路路口,2,2485.18
011ww6tv5r500001,无名道路与无名道路路口,3,591.03
011ww6tv5r500001,无名道路与无名道路路口,6,1526.77
011ww6tv75x00001,无名道路与无名道路路口,7,591.03
011ww6tv75y00001,无名道路与无名道路路口,3,740.87
011ww6tv75y00001,无名道路与无名道路路口,5,1108.26
011ww6tv8sj00001,A34县道与无名道路路口,1,417.69
011ww6tv8sj00001,A34县道与无名道路路口,3,756.98
