inter_id,inter_name,exit_dir8,exit_label,downstream_inter_id,downstream_inter_name,downstream_signalized
011ww6tq5uk00001,A32县道与云翠山路路口,2,东出口,011ww6tqk3k00001,汇泉路与龙池大街路口,1
011ww6tqhrp00001,龙池大街与演旧线路口,2,东出口,011ww6tqk3k00001,汇泉路与龙池大街路口,1
011ww6tqk3k00001,汇泉路与龙池大街路口,0,北出口,011ww6tw3hq00001,洪范池路与A33县道路口,1
011ww6tqk7300001,龙池大街与张南路路口,6,西出口,011ww6tqk3k00001,汇泉路与龙池大街路口,1
011ww6tqq5000001,A33县道与洪范池路路口,4,南出口,011ww6tqk3k00001,汇泉路与龙池大街路口,1
011ww6ttkrv00001,岔口,1,东北出口,011ww6ty00s00001,东马线与220国道路口,1
011ww6ttyf400001,王旧线与王旧线路口,1,东北出口,011ww6ttzmq00001,王旧线与无名道路路口,1
011ww6ttzmq00001,王旧线与无名道路路口,0,北出口,011ww6ty42300001,无名道路与少岱路路口,1
011ww6ttzpb00001,无名道路与无名道路路口,7,西北出口,011ww6ttzmq00001,王旧线与无名道路路口,1
011ww6tvbjz00001,无名道路与少岱路路口,2,东出口,011ww6ty00s00001,东马线与220国道路口,1
011ww6tvbwk00001,望岱街与少岱路路口,2,东出口,011ww6ty08c00001,望岱街与阿胶路路口,1
011ww6tvcr000001,A34县道与少岱路路口,2,东出口,011ww6ty11q00001,154县道与220国道路口,1
011ww6tvf6s00001,无名道路与无名道路路口,4,南出口,011ww6ttzmq00001,王旧线与无名道路路口,1
011ww6tvfk800001,无名道路与无名道路路口,2,东出口,011ww6ty42300001,无名道路与少岱路路口,1
011ww6tw72f00001,洪范池路与洪范池路路口,4,南出口,011ww6tw3hq00001,洪范池路与A33县道路口,1
011ww6twb9f00001,大寨山路与杨大路路口,6,西出口,011ww6tw3hq00001,洪范池路与A33县道路口,1
011ww6twnkk00001,无名道路与谷城路路口,0,北出口,011ww6ty0j200001,岱南街与谷城路路口,1
011ww6twpzm00001,岱南街与和平路路口,6,西出口,011ww6ty0j200001,岱南街与谷城路路口,1
011ww6ty00s00001,东马线与220国道路口,0,北出口,011ww6ty08c00001,望岱街与阿胶路路口,1
011ww6ty00s00001,东马线与220国道路口,2,东出口,011ww6ty0j200001,岱南街与谷城路路口,1
011ww6ty05600001,岱南街与市场路路口,6,西出口,011ww6ty00s00001,东马线与220国道路口,1
011ww6ty08c00001,望岱街与阿胶路路口,0,北出口,011ww6ty11q00001,154县道与220国道路口,1
011ww6ty08c00001,望岱街与阿胶路路口,2,东出口,011ww6ty0mk00001,望岱街与谷城路路口,1
011ww6ty08c00001,望岱街与阿胶路路口,4,南出口,011ww6ty00s00001,东马线与220国道路口,1
011ww6ty0d000001,岔口,6,西出口,011ww6ty08c00001,望岱街与阿胶路路口,1
011ww6ty0j200001,岱南街与谷城路路口,0,北出口,011ww6ty0mk00001,望岱街与谷城路路口,1
011ww6ty0mk00001,望岱街与谷城路路口,4,南出口,011ww6ty0j200001,岱南街与谷城路路口,1
011ww6ty0rd00001,无名道路与乔孟路路口,6,西出口,011ww6ty0mk00001,望岱街与谷城路路口,1
011ww6ty0tt00001,岔口,4,南出口,011ww6ty0mk00001,望岱街与谷城路路口,1
011ww6ty0v800001,文化街与文化街路口,0,北出口,011ww6ty1ju00001,谷城路与154县道路口,1
011ww6ty11q00001,154县道与220国道路口,1,东北出口,011ww6ty4w900001,谷城路与220国道路口,1
011ww6ty11q00001,154县道与220国道路口,4,南出口,011ww6ty08c00001,望岱街与阿胶路路口,1
011ww6ty14t00001,岱北街与无名道路路口,6,西出口,011ww6ty11q00001,154县道与220国道路口,1
011ww6ty15v00001,154县道与市场路路口,2,东出口,011ww6ty1ju00001,谷城路与154县道路口,1
