target_inter_id,target_inter_name,movement,entrance_dir8,entrance_eight_direction,turn_dir_no,exit_dir8,downstream_inter_id,downstream_inter_name,receiving_eight_direction,receiving_turn_dir_no,period,target_overflow_max_pm,target_overflow_mean_pm,target_overflow_max_all,target_sat_max_pm,target_green_util_max_pm,target_queue_max_m_pm,downstream_overflow_max_pm,downstream_sat_max_pm,screen_type,target_overflow_problem,target_sat_problem,target_high_demand,downstream_blocked,downstream_slack,has_downstream_dwd
011wwe281cy00001,二环东路与和平路路口,东进口直行,2,3,2,6,011wwe281bq00001,和平路与甸新东路路口,3,2,evening_peak,0.8038,0.1604,1.2477,,,65.2,0.3429,0.94,TYPE2_LINE,True,False,False,True,False,True
011wwe28vz100001,会展路与正奥路路口,西进口直行,6,7,2,2,011wwe29jbf00001,会展路与奥体中路路口,7,2,evening_peak,0.7866,0.0822,0.7866,0.2425,0.3243,80.8,0.2029,0.8886,WEAK_TYPE2,False,False,False,True,False,True
011wwe2801n00001,二环东路辅路与经十路路口,南进口直行,4,5,2,0,011wwe280c300001,二环东路辅路与窑头路路口,5,2,evening_peak,0.7407,0.194,1.6162,,,48.4,0.3955,1.0316,WEAK_TYPE2,False,False,False,True,False,True
011wwe22x4s00001,霞景路与洪山路路口,北进口直行,0,1,2,4,011wwe22wfv00001,旅游路与洪山路路口,1,2,evening_peak,0.5886,0.1617,0.6457,,0.1667,47.4,0.1797,0.8739,WEAK_TYPE2,False,False,False,True,False,True
011wwe28sk700001,文敏街与海右路路口,东进口直行,2,3,2,6,011wwe28s7300001,文敏街与齐风路路口,3,2,evening_peak,0.5866,0.0144,0.5866,0.2571,0.4688,91.4,1.9038,,WEAK_TYPE2,False,False,False,True,False,True
011wwe28u0g00001,无名道路与山左路路口,南进口直行,4,5,2,0,011wwe28u2d00001,天辰路与山左路路口,5,2,evening_peak,0.5189,0.0084,0.5189,,,70.8,0.8071,,WEAK_TYPE2,False,False,False,True,False,True
011wwe29qg500001,会展路与颖秀路路口,南进口直行,4,5,2,0,011wwe29r5h00001,康虹路与颖秀路路口,5,2,evening_peak,0.5009,0.1034,0.8805,0.4932,0.4932,82.6,1.217,,WEAK_TYPE2,False,False,False,True,False,True
011wwe290wy00001,龙奥东路与龙奥北路路口,东进口左转,2,3,1,4,011wwe23pyv00001,龙奥东路与龙洞立交桥路口,1,1,evening_peak,0.4919,0.0344,0.5697,1.3502,1.3502,126.5,0.0665,1.128,TYPE2_LINE,False,True,True,True,False,True
011wwe282e300001,浆水泉路与经十路路口,南进口直行,4,5,2,0,011wwe282ex00001,浆水泉路与窑头路路口,5,2,evening_peak,0.4819,0.2008,0.8568,,,32.0,1.8853,0.0,WEAK_TYPE2,False,False,False,True,False,True
011wwe0rt9s00001,旅游路与环山路路口,东进口直行,2,3,2,6,011wwe0rt8400001,千佛山东路与旅游路路口,3,2,evening_peak,0.479,0.2196,1.0685,,,91.0,0.908,,WEAK_TYPE2,False,False,False,True,False,True
011wwe22xp500001,旅游路与福地街路口,东进口直行,2,3,2,6,011wwe22xn400001,旅游路与转山西路路口,3,2,evening_peak,0.4328,0.0818,0.4328,,,216.4,0.2538,1.3618,WEAK_TYPE2,False,False,False,True,False,True
011wwe22wfv00001,旅游路与洪山路路口,北进口左转,0,1,1,2,011wwe22xn400001,旅游路与转山西路路口,7,1,evening_peak,0.4303,0.1383,0.5201,1.3953,1.3953,54.6,0.1198,7.8924,TYPE2_LINE,False,True,True,True,False,True
011wwe29j2u00001,奥体中路与工业南路路口,北进口直行,0,1,2,4,011wwe29h9n00001,天辰路与奥体中路路口,1,2,evening_peak,0.4284,0.1002,0.5795,1.68,1.68,55.0,0.2188,0.9718,TYPE2_LINE,False,True,True,True,False,True
011wwe291sx00001,奥体中路与经十路路口,西进口直行,6,7,2,2,011wwe293dv00001,经十路辅路与草山岭西路路口,7,2,evening_peak,0.4251,0.0257,1.4871,,,49.4,0.1075,1.7991,WEAK_TYPE2,False,False,False,True,False,True
011wwe22mcj00001,旅游路与浆水泉路路口,东进口直行,2,3,2,6,011wwe22jsg00001,旅游路与荆山东路路口,3,2,evening_peak,0.4052,0.127,0.4929,1.4116,1.4116,89.6,0.1024,1.1866,TYPE2_LINE,False,True,True,True,False,True
011wwe28vz100001,会展路与正奥路路口,北进口左转,0,1,1,2,011wwe29jbf00001,会展路与奥体中路路口,7,1,evening_peak,0.4031,0.0119,0.4478,0.2571,0.2571,184.0,0.1514,0.9067,WEAK_TYPE2,False,False,False,True,False,True
011wwe29h9n00001,天辰路与奥体中路路口,东进口左转,2,3,1,4,011wwe295cm00001,奥体中路与新泺大街路口,1,1,evening_peak,0.3972,0.1224,0.5142,1.0903,1.0903,44.8,0.0426,1.1552,TYPE2_LINE,False,True,True,True,False,True
011wwe294dn00001,坤顺路与重德路路口,西进口直行,6,7,2,2,011wwe294sq00001,坤顺路与奥体中路路口,7,2,evening_peak,0.3924,0.036,0.4926,0.2743,0.3243,83.8,0.2094,0.8093,WEAK_TYPE2,False,False,False,True,False,True
011wwe28f7z00001,书昌街与齐音路路口,北进口直行,0,1,2,4,011wwe28f7c00001,解放东路与齐川路路口,1,2,evening_peak,0.378,0.0235,0.462,,,39.6,0.9731,1.0402,WEAK_TYPE2,False,False,False,True,False,True
011wwe28f3p00001,书昌街与山左路路口,南进口直行,4,5,2,0,011wwe28f9j00001,茂岭山三号路与规划一号路路口,5,2,evening_peak,0.3705,0.0574,2.6918,,,38.4,1.2078,,WEAK_TYPE2,False,False,False,True,False,True
011wwe28gvj00001,奥体西路与新泺大街路口,东进口直行,2,3,2,6,011wwe28gg600001,新泺大街与齐音路路口,3,2,evening_peak,0.3541,0.1674,0.4266,,,78.2,0.3744,0.8816,WEAK_TYPE2,False,False,False,True,False,True
011wwe0xcun00001,和平路与燕子山路路口,西进口直行,6,7,2,2,011wwe281bq00001,和平路与甸新东路路口,7,2,evening_peak,0.3422,0.1162,0.4447,,,66.8,0.1086,1.587,WEAK_TYPE2,False,False,False,True,False,True
011wwe22xyq00001,云驰路与转山西路路口,东进口左转,2,3,1,4,011wwe22xn400001,旅游路与转山西路路口,1,1,evening_peak,0.342,0.0045,0.342,,0.3243,91.2,0.126,1.9064,WEAK_TYPE2,False,False,False,True,False,True
